feature,importance
cat__genres_Mystery|Sci-Fi|Thriller,1.6836906605493836e-05
cat__actor_1_name_Michael Fassbender,1.6797120945505562e-05
cat__actor_1_name_Anjelica Huston,1.657389836407556e-05
cat__actor_1_name_Mo'Nique,1.6277733560816176e-05
cat__genres_Action|Adventure,1.6115685642575566e-05
cat__actor_2_name_Brad Pitt,1.6065225388596024e-05
cat__director_name_Neil Jordan,1.5799537621048522e-05
cat__genres_Action|Comedy|Romance,1.57884729723364e-05
cat__genres_Action|Adventure|Drama|Fantasy,1.5753595186087827e-05
cat__director_name_Paul Schrader,1.569068311711512e-05
cat__actor_1_name_Demi Moore,1.565482405283706e-05
cat__actor_1_name_Zooey Deschanel,1.5590967684168834e-05
cat__director_name_Alfred Hitchcock,1.541175366237668e-05
cat__actor_3_name_Lois Maxwell,1.5230591134014375e-05
cat__actor_2_name_Tom Arnold,1.5165558322198583e-05
cat__genres_Action,1.4926262376958941e-05
cat__actor_2_name_Miranda Richardson,1.479163020659048e-05
cat__actor_2_name_Michael Rapaport,1.4762783255783222e-05
cat__actor_1_name_Bruce Greenwood,1.4747188751837859e-05
cat__director_name_F. Gary Gray,1.4718110175748437e-05
cat__director_name_Mike Newell,1.467091320007626e-05
cat__genres_Comedy|Horror|Thriller,1.463073688610485e-05
cat__actor_1_name_Macaulay Culkin,1.4478224192734765e-05
cat__actor_2_name_James Franco,1.4232345096140014e-05
cat__actor_3_name_Ben Mendelsohn,1.4147500487782557e-05
cat__director_name_Stephen Hopkins,1.402709844826175e-05
cat__actor_1_name_Gary Cole,1.3993927008258655e-05
cat__genres_Drama|Fantasy,1.3710151503417924e-05
cat__actor_1_name_Peter Dinklage,1.3640415623142017e-05
cat__director_name_Taylor Hackford,1.3571647115434246e-05
cat__actor_1_name_Djimon Hounsou,1.3522041026254929e-05
cat__genres_Adventure|Comedy|Drama,1.274387387132661e-05
cat__actor_1_name_Charlotte Rampling,1.2717748902539524e-05
cat__genres_Drama|Fantasy|Romance,1.2636367040362519e-05
cat__language_Swedish,1.2539140704164453e-05
cat__director_name_Neil Burger,1.253679553169592e-05
cat__genres_Drama|Romance|War,1.2504264981986627e-05
cat__director_name_Curtis Hanson,1.2251771012004807e-05
cat__genres_Action|Comedy|Crime|Drama|Thriller,1.206002807136645e-05
cat__genres_Comedy|Horror|Sci-Fi,1.1774927669134165e-05
cat__actor_1_name_Henry Cavill,1.1629370990116855e-05
cat__director_name_Peter Chelsom,1.1565642661523797e-05
cat__genres_Action|Drama|History|War,1.1431044042038326e-05
cat__director_name_Oliver Stone,1.1190813247586547e-05
cat__director_name_Roman Polanski,1.1168412400979213e-05
cat__director_name_Stephen Frears,1.1078110021627776e-05
cat__director_name_Kirk Jones,1.1059194837014215e-05
cat__genres_Action|Horror|Sci-Fi,1.098385622166229e-05
cat__actor_2_name_Olivia Wilde,1.0931089548962872e-05
cat__genres_Action|Drama|Sport,1.0829118740766234e-05
cat__actor_1_name_Adam Goldberg,1.0706782141392162e-05
cat__actor_1_name_Nia Long,1.0663843218010264e-05
cat__director_name_John Landis,1.062670090688257e-05
cat__director_name_Terry Gilliam,1.050550365836695e-05
cat__director_name_Lasse Hallström,1.047021440958619e-05
cat__actor_1_name_Olivia Wilde,1.0439243892094322e-05
cat__director_name_Nancy Meyers,1.0433979993909764e-05
cat__actor_1_name_Robin Wright,1.0311202490291016e-05
cat__actor_1_name_Jada Pinkett Smith,1.0291525599007253e-05
cat__director_name_George Lucas,1.0102536205128634e-05
cat__genres_Drama|History|Romance|War,1.0093545297608764e-05
cat__director_name_Norman Jewison,9.998292118723653e-06
cat__director_name_Adam McKay,9.945618509777168e-06
cat__genres_Biography|Crime|Drama|Thriller,9.899740635740205e-06
cat__actor_3_name_Bokeem Woodbine,9.875358228004636e-06
cat__actor_2_name_Kate Winslet,9.770456858277566e-06
cat__actor_1_name_Tom Wilkinson,9.676516019399926e-06
cat__actor_2_name_Mark Addy,9.471323476634333e-06
cat__genres_Drama|Romance|Western,9.395140179966644e-06
cat__actor_1_name_Martin Landau,9.380756129756433e-06
cat__director_name_David Lynch,9.370844458662178e-06
cat__genres_Action|Mystery|Sci-Fi|Thriller,9.255834663345057e-06
